camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,critical_flag,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,violation_code,violation_description,score,grade,grade_date
50063280,ENZO'S OF ARTHUR AVE,Bronx,,ARTHUR AVE,10458,7187334455,Italian,2021-09-12T00:00:00.000,No violations were recorded at the time of this inspection.,Not Applicable,2025-02-23T06:00:10.000,Inter-Agency Task Force / Initial Inspection,,,,,,,,,,,0.0,,
41629672,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,6316620284,Donuts,2024-09-20T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,10.0,A,2024-09-20T00:00:00.000
40376515,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,Manhattan,,W 79 STREET,10024,2127695370,American,2022-01-12T00:00:00.000,Violations were cited in the following area(s).,Not Applicable,2025-02-23T06:00:10.000,Trans Fat / Initial Inspection,,,,,,,,,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",,,
50133264,NOM WAH (KIOSK 11),Manhattan,PIER 57,KIOSK 11,10011,6467634242,Chinese,2023-10-04T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Re-inspection,,,,,,,,,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",5.0,A,2023-10-04T00:00:00.000
50104563,Sushi Teru,Manhattan,615 1/2,HUDSON STREET,10014,6469228677,Japanese,2023-03-31T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,40.737801258392,-74.005658148288,,,,,,,02B,Hot TCS food item not held at or above 140 °F.,12.0,A,2023-03-31T00:00:00.000
50112612,PIXIE SCOUT CANTEEN,Manhattan,,BATTERY PARK THE BOSQUE AREA,10004,3472357158,American,2024-07-17T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",13.0,A,2024-07-17T00:00:00.000
41698490,AMBASSADOR FOOD SERVICES,Queens,8 07,38 AVENUE,11101,7184722658,American,2022-07-29T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.759246273783,-73.943992213562,,,,,,,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",10.0,A,2022-07-29T00:00:00.000
50118692,BUBBY'S DINER,Queens,,TERMINAL C CONCOURSE E,11371,2159970667,Bottled Beverages,2024-10-30T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",22.0,,
50103409,EAT PRETTY COFFEE + KITCHEN,Manhattan,501 1/2,EAST   83 STREET,10028,6465908190,Coffee/Tea,2023-08-10T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.773828398358,-73.948193324494,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,12.0,A,2023-08-10T00:00:00.000
50002431,DUE AMICI,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464835087,Italian,2017-11-01T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",6.0,A,2017-11-01T00:00:00.000
50067032,DEATH AVENUE: TAP ROOM,Manhattan,,10TH AVE,10001,2126958080,American,2022-06-14T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10H,Proper sanitization not provided for utensil ware washing operation.,11.0,A,2022-06-14T00:00:00.000
50118702,TERRACE BAR,Manhattan,,TERMINAL C LEVEL 3 CONCOURSE E,11371,2159970667,Other,2024-10-30T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",7.0,A,2024-10-30T00:00:00.000
50133264,NOM WAH (KIOSK 11),Manhattan,PIER 57,KIOSK 11,10011,6467634242,Chinese,2023-03-13T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Non-operational) / Initial Inspection,,,,,,,,,05H,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,61.0,,
50110806,THE CENTURION LOUNGE,Queens,LAGUARDIA,AP HEADHOUSE,11371,7185549605,American,2023-03-23T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",13.0,A,2023-03-23T00:00:00.000
50144111,LAZY DOG,Manhattan,W 59TH,COLUMBUS CIRCLE,10023,9176265861,Other,2023-12-20T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",7.0,A,2023-12-20T00:00:00.000
50134609,ESSEX SQUEEZE,Manhattan,NKA,HIGH LINE PARK W 15TH ST,10011,9179394070,"Juice, Smoothies, Fruit Salads",2023-07-20T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",22.0,N,
