epoch,step,train_loss,valid_loss
0,19,,218.6329345703125
0,19,353.8020935058594,
1,39,,217.05886840820312
1,39,223.81259155273438,
2,59,,188.79940795898438
2,59,192.8841094970703,
3,79,,197.84506225585938
3,79,191.98526000976562,
4,99,,186.63414001464844
4,99,196.7877197265625,
5,119,,200.8537139892578
5,119,183.19517517089844,
6,139,,200.22088623046875
6,139,170.51773071289062,
7,159,,205.74063110351562
7,159,163.90744018554688,
8,179,,215.3491973876953
8,179,178.17587280273438,
9,199,,195.4875946044922
9,199,179.44154357910156,
10,219,,190.756591796875
10,219,177.5120391845703,
11,239,,196.2300262451172
11,239,164.2307891845703,
12,259,,190.6950225830078
12,259,171.9187469482422,
13,279,,201.30819702148438
13,279,166.57504272460938,
14,299,,182.4314727783203
14,299,150.79641723632812,
15,319,,197.9756622314453
15,319,171.9224395751953,
16,339,,180.65322875976562
16,339,162.12184143066406,
17,359,,184.26116943359375
17,359,157.99752807617188,
18,379,,178.1955108642578
18,379,156.8247833251953,
19,399,,172.7162322998047
19,399,164.0718994140625,
20,419,,173.6039581298828
20,419,168.53060913085938,
21,439,,187.52642822265625
21,439,168.56674194335938,
22,459,,183.58924865722656
22,459,163.09585571289062,
23,479,,180.48756408691406
23,479,154.0044403076172,
24,499,,184.2579803466797
24,499,162.69259643554688,
25,519,,205.51065063476562
25,519,170.2550811767578,
26,539,,183.19033813476562
26,539,159.87570190429688,
27,559,,177.9464111328125
27,559,155.39060974121094,
28,579,,184.6778106689453
28,579,165.6883544921875,
29,599,,201.47958374023438
29,599,172.49156188964844,
